Date,Price,Open,High,Low,Change %
12-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
11-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
10-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
7-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
6-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
5-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
4-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
3-Dec-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
30-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
29-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
28-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
27-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
26-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
23-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
22-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
21-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
20-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
19-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
16-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
15-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
14-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
13-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
12-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
9-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
8-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
7-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
6-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
5-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
2-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0
1-Nov-18,"70,000.00","70,000.00","72,000.00","68,000.00",0.0145
31-Oct-18,"69,000.00","69,000.00","71,000.00","67,000.00",0
30-Oct-18,"69,000.00","69,000.00","71,000.00","67,000.00",0.0147
29-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
26-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
25-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
24-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
23-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
22-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
19-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
18-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
17-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
16-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
15-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
12-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
11-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",0
10-Oct-18,"68,000.00","68,000.00","70,000.00","66,000.00",-0.0216
9-Oct-18,"69,500.00","69,500.00","72,000.00","67,000.00",-0.0211
8-Oct-18,"71,000.00","71,000.00","74,000.00","68,000.00",0
28-Sep-18,"71,000.00","71,000.00","74,000.00","68,000.00",0
27-Sep-18,"71,000.00","71,000.00","74,000.00","68,000.00",0
26-Sep-18,"71,000.00","71,000.00","74,000.00","68,000.00",0
25-Sep-18,"71,000.00","71,000.00","74,000.00","68,000.00",0
21-Sep-18,"71,000.00","71,000.00","74,000.00","68,000.00",0
20-Sep-18,"71,000.00","71,000.00","74,000.00","68,000.00",-0.0207
19-Sep-18,"72,500.00","72,500.00","76,000.00","69,000.00",0
18-Sep-18,"72,500.00","72,500.00","76,000.00","69,000.00",-0.0136
17-Sep-18,"73,500.00","73,500.00","77,000.00","70,000.00",-0.0134
14-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
13-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
12-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
11-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
10-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
7-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
6-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
5-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
4-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
3-Sep-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
31-Aug-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
30-Aug-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
29-Aug-18,"74,500.00","74,500.00","78,000.00","71,000.00",0
28-Aug-18,"74,500.00","74,500.00","78,000.00","71,000.00",-0.0261
27-Aug-18,"76,500.00","76,500.00","80,000.00","73,000.00",-0.0255
24-Aug-18,"78,500.00","78,500.00","82,000.00","75,000.00",0
23-Aug-18,"78,500.00","78,500.00","82,000.00","75,000.00",-0.0126
22-Aug-18,"79,500.00","79,500.00","83,000.00","76,000.00",0
21-Aug-18,"79,500.00","79,500.00","83,000.00","76,000.00",0
20-Aug-18,"79,500.00","79,500.00","83,000.00","76,000.00",0
